Code;Year;deaths_allagesex;ratedeaths_allagesex;popimprovedsan;popnoimprovedsan;electricity_acc;privhealthexp_gdp;pubhealthexp_gdp;tothealthexp_gdp;pcexp_health_2011ppa;political_regime;humanrs;avgtotyears_school_adults;terrorism_pcent;terrorism_fatalities;Improved.water.source....of.population.with.access.;popimprovedwatersource;popwithoutimprovedwatersource;Entity
CIV;1995;44.00000071;0.299453073;2355613;12185207;42.2695694;4.723138649;1.645869281;6.36900793;135.866726;1;-0.675817654;2.5;0.021461917;40;76.9;11181891;3358929;Cote d'Ivoire
CIV;1996;5;0.032922016;2459221;12536028;43.36985016;4.886472352;1.854107008;6.74057936;152.9790901;1;-0.701719485;2.6;0.002592033;5;77.1;11561337;3433912;Cote d'Ivoire
CIV;1997;16.00000011;0.102041776;2579480;12866506;44.45660019;5.062908986;2.003289854;7.06619884;164.3061205;1;-0.663610348;2.8;0;0;77.3;11939747;3506239;Cote d'Ivoire
CIV;1998;13.00000001;0.080414972;2700374;13184178;45.52711487;5.409390228;1.888813112;7.29820334;175.0557122;1;-0.729374188;3;NA;NA;77.5;12310528;3574024;Cote d'Ivoire
CIV;1999;51.00000041;0.306439479;2819940;13480293;48.2;4.722010324;1.799667406;6.52167773;157.2989715;1;-0.852496482;3.1;NA;NA;77.7;12665281;3634952;Cote d'Ivoire
CIV;2000;111.0000007;0.648641539;2936835;13749726;47.61742401;4.213140166;1.788035704;6.00117587;141.6401338;1;-1.251184258;3.3;0.001897433;4;77.9;12998831;3687730;Cote d'Ivoire
CIV;2001;32.00000044;0.182052551;3050187;13989965;48.64391708;3.556228896;1.290257864;4.84648676;114.7228468;1;-1.245006827;3.3;0.005617823;12;78.2;13325399;3714753;Cote d'Ivoire
CIV;2002;1323.000204;7.33512252;3160706;14205811;51.4;3.05816834;1.40860098;4.46676932;103.6012562;1;-1.534904282;3.4;0.001384307;3;78.5;13632716;3733801;Cote d'Ivoire
CIV;2003;1050.999823;5.683933208;3288360;14390995;50.67906189;3.313753051;1.338333609;4.65208666;106.6550488;1;-1.66568007;3.5;NA;NA;78.7;13913652;3765703;Cote d'Ivoire
CIV;2004;515.0000834;2.719045907;3401572;14596166;51.69551468;3.765728254;1.471674426;5.23740268;122.7138887;1;-1.734337928;3.6;0.005468821;12;79;14218213;3779525;Cote d'Ivoire
