"Code","Year","Population.with.access.to.improved.sanitation","Population.without.access.to.improved.sanitation","Access.to.electricity....of.population.","Entity"
"CIV",1995,2355613,12185207,42.2695693969727,"Cote d'Ivoire"
"CIV",1996,2459221,12536028,43.3698501586914,"Cote d'Ivoire"
"CIV",1997,2579480,12866506,44.456600189209,"Cote d'Ivoire"
"CIV",1998,2700374,13184178,45.5271148681641,"Cote d'Ivoire"
"CIV",1999,2819940,13480293,48.2,"Cote d'Ivoire"
"CIV",2000,2936835,13749726,47.6174240112305,"Cote d'Ivoire"
"CIV",2001,3050187,13989965,48.6439170837402,"Cote d'Ivoire"
"CIV",2002,3160706,14205811,51.4,"Cote d'Ivoire"
"CIV",2003,3288360,14390995,50.6790618896484,"Cote d'Ivoire"
"CIV",2004,3401572,14596166,51.6955146789551,"Cote d'Ivoire"
"CIV",2005,3520570,14815733,58.9,"Cote d'Ivoire"
"CIV",2006,3646390,15053045,53.745677947998,"Cote d'Ivoire"
"CIV",2007,3798102,15287839,54.7862396240234,"Cote d'Ivoire"
"CIV",2008,3938593,15559393,55.8373031616211,"Cote d'Ivoire"
"CIV",2009,4106891,15829475,56.8971138000488,"Cote d'Ivoire"
"CIV",2010,4263878,16137453,57.9639282226563,"Cote d'Ivoire"
"CIV",2011,4450701,16444610,59.0359878540039,"Cote d'Ivoire"
"CIV",2012,4626418,16792185,55.8,"Cote d'Ivoire"
"CIV",2013,4832589,17133723,61.1888618469238,"Cote d'Ivoire"
"CIV",2014,5024491,17506859,61.9,"Cote d'Ivoire"
"CIV",2015,5199406,17909066,64.0861968994141,"Cote d'Ivoire"
"CIV",2016,NA,NA,64.3,"Cote d'Ivoire"
"CMR",1995,5519008,7941986,36.1630668640137,"Cameroon"
"CMR",1996,5704551,8107921,37.3451614379883,"Cameroon"
"CMR",1997,5878651,8286772,38.5119590759277,"Cameroon"
"CMR",1998,6056329,8467241,40.7,"Cameroon"
"CMR",1999,6254594,8637297,40.7874374389648,"Cameroon"
"CMR",2000,6445727,8828507,41,"Cameroon"
"CMR",2001,6644897,9027030,46.2,"Cameroon"
"CMR",2002,6868246,9216640,44.0505065917969,"Cameroon"
"CMR",2003,7084430,9429392,45.1175422668457,"Cameroon"
"CMR",2004,7326323,9632758,47.1,"Cameroon"
"CMR",2005,7560625,9860170,47.257022857666,"Cameroon"
"CMR",2006,7822109,10077453,49,"Cameroon"
"CMR",2007,8075576,10319813,48.2,"Cameroon"
"CMR",2008,8356898,10550110,50.5691757202148,"Cameroon"
"CMR",2009,8628048,10804493,51.7152557373047,"Cameroon"
"CMR",2010,8926811,11043684,52.8793601989746,"Cameroon"
"CMR",2011,9213681,11306766,53.7,"Cameroon"
"CMR",2012,9529237,11553146,55.249626159668,"Cameroon"
"CMR",2013,9831695,11824020,56.4497795104981,"Cameroon"
