"Entity","Code","Year","Average.Total.Years.of.Schooling.for.Adult.Population..Lee.Lee..2016...Barro.Lee..2018..and.UNDP..2018.."
"Algeria","DZA",1995,4.7
"Algeria","DZA",1996,5
"Algeria","DZA",1997,5.2
"Algeria","DZA",1998,5.4
"Algeria","DZA",1999,5.7
"Algeria","DZA",2000,5.9
"Algeria","DZA",2001,6.1
"Algeria","DZA",2002,6.3
"Algeria","DZA",2003,6.5
"Algeria","DZA",2004,6.7
"Algeria","DZA",2005,6.9
"Algeria","DZA",2006,7
"Algeria","DZA",2007,7.2
"Algeria","DZA",2008,6.7
"Algeria","DZA",2009,6.9
"Algeria","DZA",2010,7.1
"Algeria","DZA",2011,7.4
"Algeria","DZA",2012,7.6
"Algeria","DZA",2013,7.8
"Algeria","DZA",2014,7.9
"Algeria","DZA",2015,7.9
"Algeria","DZA",2016,8
"Algeria","DZA",2017,8
"Cameroon","CMR",1995,4.2
"Cameroon","CMR",1996,4.3
"Cameroon","CMR",1997,4.4
"Cameroon","CMR",1998,4.6
"Cameroon","CMR",1999,4.7
"Cameroon","CMR",2000,4.8
"Cameroon","CMR",2001,4.9
"Cameroon","CMR",2002,5.1
"Cameroon","CMR",2003,5.1
"Cameroon","CMR",2004,5.1
"Cameroon","CMR",2005,5.1
"Cameroon","CMR",2006,5.2
"Cameroon","CMR",2007,5.2
"Cameroon","CMR",2008,5.2
"Cameroon","CMR",2009,5.2
"Cameroon","CMR",2010,5.3
"Cameroon","CMR",2011,5.5
"Cameroon","CMR",2012,5.7
"Cameroon","CMR",2013,5.9
"Cameroon","CMR",2014,6
"Cameroon","CMR",2015,6.1
"Cameroon","CMR",2016,6.3
"Cameroon","CMR",2017,6.3
"Comoros","COM",2004,2.8
"Comoros","COM",2005,3.1
"Comoros","COM",2006,3.3
"Comoros","COM",2007,3.5
"Comoros","COM",2008,3.7
"Comoros","COM",2009,3.9
"Comoros","COM",2010,4.2
"Comoros","COM",2011,4.4
