"Code","Year","Terrorism..percent.","Terrorism.fatalities..GTD..2018.","Entity"
"CIV",1995,0.021461917,40,"Cote d'Ivoire"
"CIV",1996,0.002592033,5,"Cote d'Ivoire"
"CIV",1997,0,0,"Cote d'Ivoire"
"CIV",2000,0.001897433,4,"Cote d'Ivoire"
"CIV",2001,0.005617823,12,"Cote d'Ivoire"
"CIV",2002,0.001384307,3,"Cote d'Ivoire"
"CIV",2004,0.005468821,12,"Cote d'Ivoire"
"CIV",2005,0.018733275,41,"Cote d'Ivoire"
"CIV",2006,0.009211791,20,"Cote d'Ivoire"
"CIV",2007,0,0,"Cote d'Ivoire"
"CIV",2010,0.004768671,10,"Cote d'Ivoire"
"CIV",2011,0.011075312,23,"Cote d'Ivoire"
"CIV",2012,0.022219819,45,"Cote d'Ivoire"
"CIV",2013,0.002010412,4,"Cote d'Ivoire"
"CIV",2014,0.002035389,4,"Cote d'Ivoire"
"CIV",2015,0.007272072,14,"Cote d'Ivoire"
"CIV",2016,0.011661993,22,"Cote d'Ivoire"
"CIV",2017,0.001621016,3,"Cote d'Ivoire"
"CMR",1995,0.003517958,5,"Cameroon"
"CMR",1998,0,0,"Cameroon"
"CMR",2007,0.014878187,31,"Cameroon"
"CMR",2008,0.001435376,3,"Cameroon"
"CMR",2009,0,0,"Cameroon"
"CMR",2010,0.002405716,5,"Cameroon"
"CMR",2011,0.001935162,4,"Cameroon"
"CMR",2013,0.003467198,7,"Cameroon"
"CMR",2014,0.39214448,789,"Cameroon"
"CMR",2015,0.468029011,931,"Cameroon"
"CMR",2016,0.138077416,269,"Cameroon"
"CMR",2017,0.119237478,228,"Cameroon"
"COD",1997,0.001226476,8,"Democratic Republic of Congo"
"COD",1998,0.01047857,67,"Democratic Republic of Congo"
"COD",1999,0.001081022,7,"Democratic Republic of Congo"
"COD",2000,0.006127456,40,"Democratic Republic of Congo"
"COD",2001,0.002263851,15,"Democratic Republic of Congo"
"COD",2002,0.002359993,16,"Democratic Republic of Congo"
"COD",2003,0.02249453,154,"Democratic Republic of Congo"
"COD",2004,0.00322253,22,"Democratic Republic of Congo"
"COD",2005,0.004543746,31,"Democratic Republic of Congo"
"COD",2006,0.00333584,23,"Democratic Republic of Congo"
"COD",2007,0.010314323,72,"Democratic Republic of Congo"
"COD",2008,0.045138743,319,"Democratic Republic of Congo"
"COD",2009,0.115283496,824,"Democratic Republic of Congo"
"COD",2010,0.01675219,118,"Democratic Republic of Congo"
"COD",2011,0.007144344,50,"Democratic Republic of Congo"
"COD",2012,0.041434921,288,"Democratic Republic of Congo"
"COD",2013,0.022022998,150,"Democratic Republic of Congo"
"COD",2014,0.054768456,366,"Democratic Republic of Congo"
"COD",2015,0.056744414,371,"Democratic Republic of Congo"
"COD",2016,0.082345194,532,"Democratic Republic of Congo"
"COD",2017,0.092708811,596,"Democratic Republic of Congo"
"COG",1996,0,0,"Congo"
"COG",1997,0.0040524,2,"Congo"
"COG",1999,0.260289353,107,"Congo"
"COG",2001,0,0,"Congo"
"COG",2002,0.042450014,17,"Congo"
"COG",2003,0.027449728,11,"Congo"
"COG",2013,0.00541752,2,"Congo"
"COG",2016,0.083437424,31,"Congo"
"COM",1997,0,0,"Comoros"
"DZA",1995,0.323247958,418,"Algeria"
"DZA",1996,0.410489869,529,"Algeria"
"DZA",1997,3.176154305,4266,"Algeria"
"DZA",1998,0.706717403,952,"Algeria"
"DZA",1999,0.346743358,467,"Algeria"
"DZA",2000,0.382944988,528,"Algeria"
"DZA",2001,0.449072145,624,"Algeria"
"DZA",2002,0.439639564,615,"Algeria"
"DZA",2003,0.188006561,269,"Algeria"
"DZA",2004,0.117086614,166,"Algeria"
"DZA",2005,0.159599164,228,"Algeria"
"DZA",2006,0.127995687,185,"Algeria"
"DZA",2007,0.164294976,241,"Algeria"
"DZA",2008,0.168271769,249,"Algeria"
"DZA",2009,0.136085556,204,"Algeria"
"DZA",2010,0.072019426,109,"Algeria"
"DZA",2011,0.016285417,25,"Algeria"
"DZA",2012,0.019351602,30,"Algeria"
"DZA",2013,0.063898811,101,"Algeria"
"DZA",2014,0.022882978,37,"Algeria"
"DZA",2015,0.012771234,21,"Algeria"
"DZA",2016,0.005421075,9,"Algeria"
"DZA",2017,0.007146795,12,"Algeria"
"EGY",1995,0.033984877,134,"Egypt"
"EGY",1996,0.024970715,97,"Egypt"
"EGY",1997,0.042419874,165,"Egypt"
"EGY",1998,0.002334005,9,"Egypt"
"EGY",1999,0.000259236,1,"Egypt"
"EGY",2004,0.008881973,37,"Egypt"
"EGY",2005,0.021879483,92,"Egypt"
"EGY",2006,0.004435197,19,"Egypt"
"EGY",2008,0,0,"Egypt"
"EGY",2009,0.000222696,1,"Egypt"
"EGY",2010,0,0,"Egypt"
