"Code","Year","Improved.water.source....of.population.with.access.","Population.with.access.to.improved.water.source","Population.without.access.to.improved.water.source","Entity"
"CIV",1995,76.9,11181891,3358929,"Cote d'Ivoire"
"CIV",1996,77.1,11561337,3433912,"Cote d'Ivoire"
"CIV",1997,77.3,11939747,3506239,"Cote d'Ivoire"
"CIV",1998,77.5,12310528,3574024,"Cote d'Ivoire"
"CIV",1999,77.7,12665281,3634952,"Cote d'Ivoire"
"CIV",2000,77.9,12998831,3687730,"Cote d'Ivoire"
"CIV",2001,78.2,13325399,3714753,"Cote d'Ivoire"
"CIV",2002,78.5,13632716,3733801,"Cote d'Ivoire"
"CIV",2003,78.7,13913652,3765703,"Cote d'Ivoire"
"CIV",2004,79,14218213,3779525,"Cote d'Ivoire"
"CIV",2005,79.2,14522352,3813951,"Cote d'Ivoire"
"CIV",2006,79.5,14866051,3833384,"Cote d'Ivoire"
"CIV",2007,79.8,15230581,3855360,"Cote d'Ivoire"
"CIV",2008,80.1,15617887,3880099,"Cote d'Ivoire"
"CIV",2009,80.4,16028838,3907528,"Cote d'Ivoire"
"CIV",2010,80.7,16463874,3937457,"Cote d'Ivoire"
"CIV",2011,80.9,16904307,3991004,"Cote d'Ivoire"
"CIV",2012,81.2,17391906,4026697,"Cote d'Ivoire"
"CIV",2013,81.5,17902544,4063768,"Cote d'Ivoire"
"CIV",2014,81.8,18430644,4100706,"Cote d'Ivoire"
"CIV",2015,81.9,18925839,4182633,"Cote d'Ivoire"
"CMR",1995,56.5,7605462,5855532,"Cameroon"
"CMR",1996,57.6,7955984,5856488,"Cameroon"
"CMR",1997,58.6,8300938,5864485,"Cameroon"
"CMR",1998,59.7,8670571,5852999,"Cameroon"
"CMR",1999,60.7,9039378,5852513,"Cameroon"
"CMR",2000,61.7,9424202,5850032,"Cameroon"
"CMR",2001,62.8,9841970,5829957,"Cameroon"
"CMR",2002,63.8,10262157,5822729,"Cameroon"
"CMR",2003,64.9,10717470,5796352,"Cameroon"
"CMR",2004,65.9,11176034,5783047,"Cameroon"
"CMR",2005,66.9,11654512,5766283,"Cameroon"
"CMR",2006,68,12171702,5727860,"Cameroon"
"CMR",2007,69,12692818,5702571,"Cameroon"
"CMR",2008,70,13234906,5672102,"Cameroon"
"CMR",2009,71,13797104,5635437,"Cameroon"
"CMR",2010,72.1,14398727,5571768,"Cameroon"
"CMR",2011,73.1,15000447,5520000,"Cameroon"
"CMR",2012,74.1,15622046,5460337,"Cameroon"
"CMR",2013,75.1,16263442,5392273,"Cameroon"
"CMR",2014,75.4,16768888,5471016,"Cameroon"
"CMR",2015,75.6,17262899,5571623,"Cameroon"
"COD",1995,45.2,18801276,22794468,"Democratic Republic of Congo"
"COD",1996,45.6,19503368,23267176,"Democratic Republic of Congo"
"COD",1997,46,20161867,23668279,"Democratic Republic of Congo"
"COD",1998,46.4,20806005,24034524,"Democratic Republic of Congo"
"COD",1999,46.8,21480576,24418091,"Democratic Republic of Congo"
"COD",2000,47.1,22172978,24903409,"Democratic Republic of Congo"
"COD",2001,47.5,22987311,25407027,"Democratic Republic of Congo"
"COD",2002,47.9,23871327,25964429,"Democratic Republic of Congo"
"COD",2003,48.2,24769996,26620037,"Democratic Republic of Congo"
"COD",2004,48.6,25774629,27259588,"Democratic Republic of Congo"
"COD",2005,49,26828223,27923253,"Democratic Republic of Congo"
"COD",2006,49.3,27875704,28667307,"Democratic Republic of Congo"
"COD",2007,49.7,29033528,29384034,"Democratic Republic of Congo"
"COD",2008,50,30186804,30186804,"Democratic Republic of Congo"
"COD",2009,50.4,31454355,30955080,"Democratic Republic of Congo"
"COD",2010,50.7,32713294,31809969,"Democratic Republic of Congo"
"COD",2011,51.1,34090648,32622949,"Democratic Republic of Congo"
"COD",2012,51.4,35455043,33523639,"Democratic Republic of Congo"
"COD",2013,51.8,36941705,34374328,"Democratic Republic of Congo"
"COD",2014,52.1,38409610,35313250,"Democratic Republic of Congo"
"COD",2015,52.4,39927028,36269591,"Democratic Republic of Congo"
"COG",1997,68.3,2023367,939103,"Congo"
"COG",1998,68.6,2091239,957214,"Congo"
"COG",1999,68.9,2160941,975403,"Congo"
"COG",2000,69.2,2232203,993524,"Congo"
"COG",2001,69.5,2304485,1011321,"Congo"
"COG",2002,70.1,2388433,1018747,"Congo"
"COG",2003,70.6,2472778,1029741,"Congo"
"COG",2004,71.2,2567073,1038366,"Congo"
"COG",2005,71.7,2665980,1052263,"Congo"
"COG",2006,72.2,2774188,1068177,"Congo"
"COG",2007,72.8,2894707,1081539,"Congo"
"COG",2008,73.3,3016614,1098821,"Congo"
"COG",2009,73.8,3139239,1114473,"Congo"
"COG",2010,74.3,3259313,1127380,"Congo"
"COG",2011,74.8,3375522,1137208,"Congo"
"COG",2012,75.3,3488922,1144441,"Congo"
"COG",2013,75.8,3601556,1149837,"Congo"
"COG",2014,76.3,3716650,1154451,"Congo"
"COG",2015,76.5,3821671,1173977,"Congo"
"COM",1995,90.1,428330,47064,"Comoros"
"COM",1996,90.1,440253,48374,"Comoros"
"COM",1997,90.1,452260,49693,"Comoros"
"COM",1998,90.1,464362,51023,"Comoros"
"COM",1999,90.1,476492,52356,"Comoros"
"COM",2000,90.1,488664,53693,"Comoros"
"COM",2001,90.1,500855,55033,"Comoros"
"COM",2002,90.1,513101,56378,"Comoros"
"COM",2003,90.1,525473,57738,"Comoros"
"COM",2004,90.1,538102,59126,"Comoros"
"COM",2005,90.1,551076,60551,"Comoros"
"COM",2006,90.1,564409,62016,"Comoros"
"COM",2007,90.1,578100,63520,"Comoros"
"COM",2008,90.1,592163,65066,"Comoros"
"COM",2009,90.1,606600,66652,"Comoros"
"COM",2010,90.1,621412,68280,"Comoros"
"COM",2011,90.1,636619,69950,"Comoros"
"COM",2012,90.1,652205,71663,"Comoros"
"COM",2013,90.1,668092,73409,"Comoros"
"COM",2014,90.1,684206,75179,"Comoros"
"COM",2015,90.1,700459,76965,"Comoros"
"DZA",1995,91.2,26360720,2543578,"Algeria"
"DZA",1996,90.9,26734976,2676439,"Algeria"
"DZA",1997,90.5,27047589,2839250,"Algeria"
"DZA",1998,90.2,27362830,2972902,"Algeria"
"DZA",1999,89.9,27658286,3107327,"Algeria"
"DZA",2000,89.5,27909376,3274284,"Algeria"
"DZA",2001,89.2,28180200,3411953,"Algeria"
"DZA",2002,88.8,28411601,3583445,"Algeria"
"DZA",2003,88.5,28677110,3726404,"Algeria"
"DZA",2004,88.1,28924196,3906900,"Algeria"
"DZA",2005,87.7,29193959,4094478,"Algeria"
"DZA",2006,87.4,29521898,4256017,"Algeria"
"DZA",2007,87,29841066,4459010,"Algeria"
"DZA",2008,86.6,30189379,4671336,"Algeria"
"DZA",2009,86.2,30571485,4894275,"Algeria"
"DZA",2010,85.7,30952815,5164822,"Algeria"
"DZA",2011,85.3,31407083,5412475,"Algeria"
"DZA",2012,84.9,31893404,5672443,"Algeria"
"DZA",2013,84.5,32396085,5942477,"Algeria"
"DZA",2014,84,32855183,6258130,"Algeria"
"DZA",2015,83.6,33332597,6538931,"Algeria"
"EGY",1995,94.6,60273809,3440577,"Egypt"
"EGY",1996,94.9,61621850,3311606,"Egypt"
"EGY",1997,95.1,62909712,3241405,"Egypt"
"EGY",1998,95.4,64278665,3099391,"Egypt"
"EGY",1999,95.6,65607091,3019573,"Egypt"
"EGY",2000,95.9,67039842,2866146,"Egypt"
"EGY",2001,96.1,68449089,2777851,"Egypt"
"EGY",2002,96.4,69976874,2613244,"Egypt"
"EGY",2003,96.6,71466556,2515386,"Egypt"
"EGY",2004,96.9,73045060,2336839,"Egypt"
"EGY",2005,97.1,74551583,2226566,"Egypt"
"EGY",2006,97.3,76048754,2110294,"Egypt"
"EGY",2007,97.6,77628359,1908894,"Egypt"
"EGY",2008,97.8,79172896,1780985,"Egypt"
"EGY",2009,98.1,80898187,1566835,"Egypt"
"EGY",2010,98.3,82677777,1429829,"Egypt"
"EGY",2011,98.6,84694995,1202566,"Egypt"
"EGY",2012,98.8,86759498,1053759,"Egypt"
"EGY",2013,99.1,88999166,808267,"Egypt"
"EGY",2014,99.2,91078065,734501,"Egypt"
"EGY",2015,99.4,93215503,562669,"Egypt"
"ERI",1995,48.4,1495637,1594522,"Eritrea"
"ERI",1996,48.9,1523909,1592470,"Eritrea"
"ERI",1997,49.4,1561707,1599643,"Eritrea"
"ERI",1998,49.9,1608887,1615336,"Eritrea"
"ERI",1999,50.5,1667643,1634620,"Eritrea"
"ERI",2000,51,1730329,1662472,"Eritrea"
"ERI",2001,51.5,1801019,1696105,"Eritrea"
"ERI",2002,52.1,1883227,1731412,"Eritrea"
"ERI",2003,52.6,1966327,1771938,"Eritrea"
"ERI",2004,53.1,2048929,1809694,"Eritrea"
"ERI",2005,53.7,2131357,1837650,"Eritrea"
"ERI",2006,54.2,2204123,1862525,"Eritrea"
"ERI",2007,54.8,2276026,1877306,"Eritrea"
"ERI",2008,55.3,2340648,1891988,"Eritrea"
"ERI",2009,55.9,2409477,1900857,"Eritrea"
"ERI",2010,56.4,2476434,1914406,"Eritrea"
"ERI",2011,57,2550573,1924117,"Eritrea"
"ERI",2012,57.5,0,0,"Eritrea"
"ERI",2013,57.6,0,0,"Eritrea"
"ERI",2014,57.7,0,0,"Eritrea"
"ERI",2015,57.8,0,0,"Eritrea"
"ETH",1995,19.5,11175427,46134453,"Ethiopia"
"ETH",1996,21.4,12659202,46495946,"Ethiopia"
"ETH",1997,23.3,14207513,46768937,"Ethiopia"
"ETH",1998,25.2,15824126,46970025,"Ethiopia"
"ETH",1999,27,17452815,47187239,"Ethiopia"
"ETH",2000,28.9,19229289,47308042,"Ethiopia"
"ETH",2001,30.8,21095615,47396642,"Ethiopia"
"ETH",2002,32.7,23052582,47444610,"Ethiopia"
"ETH",2003,34.5,25028075,47517069,"Ethiopia"
"ETH",2004,36.4,27163283,47461122,"Ethiopia"
