migrants;Code;Year;crop_index;conflict_deaths;gdp_pcg;pgrowth;inflation;child_mort;electricity_access;educ_spending;unempl_total;pubhealthexp_gdp;political_regime;accesstoimprwater_pcent;battle_deaths;totpop;gdp_pc;avgtotyears_school_adults;crop_index_bis;agric_GDP_av
1057;CIV;1995;3.132531335;44.00000071;3.622757144;3.324635955;14.29506909;101.8;42.2695694;0;4.099999905;1.645869281;1;76.9;0;14199762;774.6712121;2.5;77.46;24.7276058
1303;CIV;1996;3.29477092;5;4.310778203;3.224715856;2.480806692;100.9;43.36985016;0;4.112999916;1.854107008;1;77.1;0;14665127;827.7620057;2.6;81.06;24.60262093
1838;CIV;1997;3.651032227;16.00000011;0.551600567;3.12509846;4.020833333;99.8;44.45660019;19.22014999;4.103000164;2.003289854;1;77.3;0;15130663;774.7276313;2.8;85.14;23.31943262
2946;CIV;1998;3.713859766;13.00000001;1.842875672;2.98687471;4.611447595;98.4;45.52711487;18.81475067;4.099999905;1.888813112;1;77.5;0;15589414;809.0126883;3;89.79;24.17700335
2591;CIV;1999;3.946483511;51.00000041;-1.191299427;2.803037112;0.702375806;96.9;48.2;21.67118073;4.334000111;1.799667406;1;77.7;0;16032573;771.968406;3.1;91.57;23.2029349
3146;CIV;2000;3.957322906;111.0000007;-4.580540605;2.598674067;2.530775167;95.3;47.61742401;20.80694962;4.514999866;1.788035704;1;77.9;0;16454668;651.3059068;3.3;98.89;24.98911571
3496.5;CIV;2001;3.604041116;32.00000044;-2.24521492;2.392101929;4.36152914;93.4;48.64391708;23.20203018;4.715000153;1.290257864;1;78.2;0;16853026;664.1276663;3.3;93.44;25.92645228
4119;CIV;2002;3.470840671;1323.000204;-3.827639325;2.221114226;3.077264852;91.4;51.4;22.59230042;4.974999905;1.40860098;1;78.5;624;17231539;716.5302656;3.4;94.65;27.27005039
6215;CIV;2003;3.278915791;1050.999823;-3.42246201;2.11353752;3.29680747;89.5;50.67906189;22.6482296;5.193999767;1.338333609;1;78.7;139;17599610;869.7125993;3.5;94.37;28.78085502
6291;CIV;2004;4.061932005;515.0000834;-0.857498876;2.085444797;1.457988356;87.5;51.69551468;22.10716057;5.357999802;1.471674426;1;79;47;17970494;921.2012673;3.6;95.82;23.58975972
5433;CIV;2005;4.419019684;154.0000128;-0.407002578;2.114434812;3.885830399;85.2;58.9;21.84568977;5.506000042;1.269719496;1;79.2;0;18354514;930.8298181;3.7;99.84;22.59324627
5710;CIV;2006;4.611669316;46.00000021;-0.651437208;2.158036592;2.467191486;83.3;53.74567795;20.01789093;5.572999954;1.358403825;1;79.5;0;18754916;949.1318328;3.8;104.34;22.62521288
5871;CIV;2007;4.511519598;4;-0.444884353;2.195517817;1.892006293;81.1;54.78623962;20.75588036;5.653999805;1.428213132;1;79.8;0;19171237;1061.154026;3.9;99.23;21.99480637
6495;CIV;2008;4.65625024;14.00000003;0.271158496;2.240257565;6.308527692;78.8;55.83730316;21.52691078;5.823999882;1.528626424;1;80.1;0;19605569;1235.613366;4;105.59;22.67704581
6131;CIV;2009;4.663631271;2;0.916728923;2.287160067;1.019504577;76.7;56.8971138;22.19046974;6.381999969;1.696810152;1;80.4;0;20059147;1210.295426;4.1;98.87;21.20021808
5697;CIV;2010;4.320524796;49.00000015;-0.336444149;2.334565367;1.226456121;74.7;57.96392822;22.77275085;6.704999924;1.676172168;1;80.7;0;20532950;1213.112645;4.2;105.98;24.52942756
5631;CIV;2011;4.107400192;1071.999888;-6.641118189;2.385511855;4.912433951;72.9;59.03598785;22.42686081;6.953999996;1.635696974;1;80.9;98;21028655;1208.583026;4.4;109.63;26.69084941
6648;CIV;2012;5.384797086;27.99999998;8.042352489;2.435928938;1.304511199;70.9;55.8;20.85876083;7.22300005;1.885045493;2;81.2;0;21547188;1243.273487;4.5;119.49;22.1902512
6215;CIV;2013;5.865970466;21.99999996;6.225706887;2.476674322;2.581170373;68.9;61.18886185;21.57472992;4.254000187;1.796587883;2;81.5;0;22087505;1415.871758;4.7;123.06;20.97862591
6003;CIV;2014;6.115022057;28.9999997;6.10311564;2.504548687;0.448682077;67;61.9;21.76678085;3.647000074;1.678538491;1;81.8;0;22647683;1561.463655;4.4;128.73;21.05143674
7289;CIV;2015;7.054162838;15.00000002;6.13206803;2.522094681;1.251499548;65.3;62.6;21.17321968;3.101999998;#N/A;1;81.9;0;23226143;1972.546108;5;129.53;18.36220725
9478;CIV;2016;6.465430871;17.00000001;4.495214422;2.536099761;0.723178458;63.9;64.3;22.51621056;2.598999977;#N/A;2;0;0;23822714;2013.382462;5.1;127.63;19.74037037
13002;CIV;2017;0;24.00000011;4.65887166;2.54780739;0.685881065;62.2;65.6;20.68033028;3.273000002;#N/A;2;#N/A;0;24437469;2111.027076;5.2;0;18.73748665
10964;CIV;2018;0;#N/A;4.102226343;2.552358861;0.359409031;60.6;66.99118042;18.33167076;3.210000038;#N/A;2;#N/A;0;25069229;2302.612951;#N/A;0;17.47185229
1289;CMR;1995;3.779763518;4.999999988;0.66238032;2.750755861;9.069690719;89.8;36.10591507;0;8.036999702;0.900268714;1;56.5;0;13599988;709.1148297;4.2;67.53;17.8661971
1964;CMR;1996;4.055743429;56;1.591047301;2.690145732;3.924063727;90.3;37.25316238;0;8.06000042;0.893368284;1;57.6;56;13970813;752.5250994;4.3;71.74;17.68849565
2942;CMR;1997;3.728252917;5.999999989;2.490315478;2.639267039;4.786238819;90.3;38.40340042;0;7.916999817;0.978965995;1;58.6;0;14344449;755.2397068;4.4;67.78;18.18009709
4231;CMR;1998;4.119357946;1;1.810065677;2.610002071;3.170751854;89.9;40.7;0;7.787000179;0.784629614;1;59.7;0;14723768;720.7969746;4.6;72.47;17.59254742
3921;CMR;1999;4.13730767;1;1.608742018;2.606524479;1.871745007;88.9;40.70849609;0;7.735000134;0.833734824;1;60.7;0;15112592;740.9965643;4.7;75.81;18.32351037
4457;CMR;2000;4.650325199;18.0000002;0.874400224;2.621099328;1.22719013;87.4;41;11.68369961;7.585000038;0.932629186;1;61.7;0;15513945;649.9918454;4.8;77.83;16.73646394
